location.x|location.y|location.z|vector.x|vector.y|vector.z|Route
-486.2302|177.6964|0.0|0.0062|-1.0|-0.0|-
-482.7303|177.7183|0.0|0.0062|-1.0|-0.0|-
-514.2609|182.5216|0.0|-0.0062|1.0|0.0|-
-510.7609|182.5435|0.0|-0.0062|1.0|0.0|route3
-507.261|182.5653|0.0|-0.0062|1.0|0.0|route2
-503.7611|182.5871|0.0|-0.0062|1.0|0.0|route1
-493.2613|182.6527|0.0|0.0062|-1.0|-0.0|-
-489.7614|182.6745|0.0|0.0062|-1.0|-0.0|-
-486.2614|182.6964|0.0|0.0062|-1.0|-0.0|-
-482.7615|182.7182|0.0|0.0062|-1.0|-0.0|-
-514.2921|187.5158|0.0|-0.0066|1.0|0.0|-
-510.7922|187.5389|0.0|-0.0066|1.0|0.0|route3
-507.2923|187.562|0.0|-0.0066|1.0|0.0|route2
-503.7924|187.5852|0.0|-0.0066|1.0|0.0|route1
-493.2926|187.6545|0.0|0.0066|-1.0|-0.0|-
-489.7927|187.6776|0.0|0.0066|-1.0|-0.0|-
-486.2927|187.7007|0.0|0.0066|-1.0|-0.0|-
-482.7928|187.7238|0.0|0.0066|-1.0|-0.0|-
-514.3483|192.358|0.0|-0.0166|0.9999|0.0|-
-510.8488|192.4161|0.0|-0.0166|0.9999|0.0|route3
-507.3492|192.4742|0.0|-0.0166|0.9999|0.0|route2
-503.8497|192.5323|0.0|-0.0166|0.9999|0.0|route1
-493.3512|192.7066|0.0|0.0166|-0.9999|-0.0|-
-489.8517|192.7647|0.0|0.0166|-0.9999|-0.0|-
-486.3521|192.8228|0.0|0.0166|-0.9999|-0.0|-
-482.8526|192.8809|0.0|0.0166|-0.9999|-0.0|-
-514.4529|197.1993|0.0|-0.0266|0.9996|0.0|-
-510.9541|197.2924|0.0|-0.0266|0.9996|0.0|route3
-507.4554|197.3855|0.0|-0.0266|0.9996|0.0|route2
-503.9566|197.4786|0.0|-0.0266|0.9996|0.0|route1
-493.4603|197.7579|0.0|0.0266|-0.9996|-0.0|-
-489.9615|197.851|0.0|0.0266|-0.9996|-0.0|-
-486.4628|197.9441|0.0|0.0266|-0.9996|-0.0|-
-482.964|198.0372|0.0|0.0266|-0.9996|-0.0|-
-514.5992|202.1394|0.0|-0.0303|0.9995|0.0|-
-511.1008|202.2453|0.0|-0.0303|0.9995|0.0|route3
-507.6024|202.3512|0.0|-0.0303|0.9995|0.0|route2
-504.104|202.4572|0.0|-0.0303|0.9995|0.0|route1
-493.6088|202.775|0.0|0.0303|-0.9995|-0.0|-
-490.1104|202.8809|0.0|0.0303|-0.9995|-0.0|-
-486.612|202.9868|0.0|0.0303|-0.9995|-0.0|-
-483.1136|203.0928|0.0|0.0303|-0.9995|-0.0|-
-514.7505|207.1371|0.0|-0.0303|0.9995|0.0|-
-511.2521|207.243|0.0|-0.0303|0.9995|0.0|route3
-507.7537|207.3489|0.0|-0.0303|0.9995|0.0|route2
-504.2553|207.4549|0.0|-0.0303|0.9995|0.0|route1
-493.7601|207.7727|0.0|0.0303|-0.9995|-0.0|-
-490.2617|207.8786|0.0|0.0303|-0.9995|-0.0|-
-486.7633|207.9846|0.0|0.0303|-0.9995|-0.0|-
-483.2649|208.0905|0.0|0.0303|-0.9995|-0.0|-
-514.9019|212.1348|0.0|-0.0303|0.9995|0.0|-
-511.4034|212.2407|0.0|-0.0303|0.9995|0.0|route3
-507.905|212.3466|0.0|-0.0303|0.9995|0.0|route2
-504.4066|212.4526|0.0|-0.0303|0.9995|0.0|route1
-493.9114|212.7704|0.0|0.0303|-0.9995|-0.0|-
-490.4131|212.8763|0.0|0.0303|-0.9995|-0.0|-
-486.9146|212.9823|0.0|0.0303|-0.9995|-0.0|-
-483.4163|213.0882|0.0|0.0303|-0.9995|-0.0|-
-515.0533|217.1535|0.0|-0.0289|0.9996|0.0|-
-511.5548|217.2548|0.0|-0.0289|0.9996|0.0|route3
-508.0563|217.3561|0.0|-0.0289|0.9996|0.0|route2
-504.5578|217.4573|0.0|-0.0289|0.9996|0.0|route1
-494.0622|217.7611|0.0|0.0289|-0.9996|-0.0|-
-490.5636|217.8624|0.0|0.0289|-0.9996|-0.0|-
-487.0651|217.9637|0.0|0.0289|-0.9996|-0.0|-
-483.5666|218.0649|0.0|0.0289|-0.9996|-0.0|-
-515.1768|222.3096|0.0|-0.0189|0.9998|0.0|-
-511.6774|222.3758|0.0|-0.0189|0.9998|0.0|route3
-508.178|222.4421|0.0|-0.0189|0.9998|0.0|route2
-504.6787|222.5084|0.0|-0.0189|0.9998|0.0|route1
-494.1805|222.7072|0.0|0.0189|-0.9998|-0.0|-
-490.6812|222.7735|0.0|0.0189|-0.9998|-0.0|-
-487.1818|222.8397|0.0|0.0189|-0.9998|-0.0|-
-483.6824|222.906|0.0|0.0189|-0.9998|-0.0|-
-515.2487|227.4665|0.0|-0.0089|1.0|0.0|-
-511.7488|227.4978|0.0|-0.0089|1.0|0.0|route3
-508.2489|227.5291|0.0|-0.0089|1.0|0.0|route2
-504.7491|227.5603|0.0|-0.0089|1.0|0.0|route1
-494.2495|227.6542|0.0|0.0089|-1.0|-0.0|-
