feat 0 | feat 1 | feat 2 | feat 3 | feat 4 | visited | brake | releasebrake | 
57,51 | 0 | 0 | 2,6 | 0 | 2512 | -4179,42 | -5830,2 | 
57,51 | 0 | 0 | 2,7 | 1 | 2140 | 0 | 0 | 
36,51 | 0 | 0 | 0,6 | 0 | 1384 | -19464,41 | -19453,2 | 
37,51 | 0 | 0 | 0,7 | 0 | 1384 | -19599,88 | -19589,21 | 
38,51 | 0 | 0 | 0,8 | 0 | 1384 | -19713,85 | -19720,32 | 
39,51 | 0 | 0 | 0,9 | 0 | 1384 | -19792,44 | -19792,61 | 
40,51 | 0 | 0 | 1,0 | 0 | 1384 | -19833,99 | -19810,57 | 
41,51 | 0 | 0 | 1,1 | 0 | 1384 | -19820,26 | -19893,9 | 
42,51 | 0 | 0 | 1,2 | 0 | 1384 | -19857,97 | -19897,8 | 
43,51 | 0 | 0 | 1,3 | 0 | 1384 | -19938,03 | -19906,47 | 
44,51 | 0 | 0 | 1,4 | 0 | 1384 | -20461,82 | -19657,44 | 
45,51 | 0 | 0 | 1,5 | 0 | 1223 | -19358,66 | -18983,14 | 
46,51 | 0 | 0 | 1,6 | 0 | 1454 | -18039,34 | -18456,04 | 
47,51 | 0 | 0 | 1,7 | 0 | 882 | -16916,71 | -17168,63 | 
47,51 | 0 | 0 | 1,8 | 0 | 768 | -17301,04 | -17025,9 | 
47,51 | 0 | 0 | 1,9 | 0 | 708 | -17469,57 | -17303,95 | 
47,51 | 0 | 0 | 2,0 | 0 | 708 | -19175,08 | -19214,59 | 
47,51 | 0 | 0 | 2,1 | 1 | 708 | 0 | 0 | 
59,51 | 0 | 0 | 2,6 | 0 | 11432 | -1581,02 | -1334,95 | 
60,51 | 0 | 0 | 2,7 | 0 | 10007 | -1346,54 | -1348,68 | 
61,51 | 0 | 0 | 2,8 | 0 | 9959 | -1477,02 | -1377,51 | 
62,51 | 0 | 0 | 2,9 | 0 | 7789 | 3347,83 | 1015,17 | 
63,51 | 0 | 0 | 3,0 | 0 | 7117 | 1715,93 | 3200,68 | 
64,51 | 0 | 0 | 3,1 | 0 | 6371 | 2801,65 | 4796,25 | 
65,51 | 0 | 0 | 3,2 | 0 | 5989 | 2811,02 | 6051,71 | 
66,51 | 0 | 0 | 3,3 | 0 | 5950 | 5271,19 | 2257,79 | 
66,51 | 0 | 0 | 3,4 | 1 | 854 | 0 | 0 | 
54,51 | 0 | 0 | 2,3 | 0 | 2858 | -7936,41 | -6814,5 | 
54,51 | 0 | 0 | 2,4 | 0 | 2020 | -7399,43 | -8396,43 | 
54,51 | 0 | 0 | 2,5 | 1 | 2019 | 0 | 0 | 
67,51 | 0 | 0 | 3,4 | 0 | 5366 | 5421,21 | 2224,07 | 
68,51 | 0 | 0 | 3,5 | 0 | 5004 | 4906,65 | 2048,47 | 
69,51 | 0 | 0 | 3,6 | 0 | 4688 | 1630,58 | 4601,47 | 
70,51 | 0 | 0 | 3,7 | 0 | 4462 | 5441,73 | 1437,22 | 
71,51 | 0 | 0 | 3,8 | 0 | 4436 | 3086,42 | 5268,01 | 
72,51 | 0 | 0 | 3,9 | 0 | 4119 | 3969,17 | 3844,54 | 
73,51 | 0 | 0 | 4,0 | 0 | 3965 | 8378,44 | 7555,4 | 
74,51 | 0 | 0 | 4,1 | 0 | 3914 | 5907,2 | 9320,45 | 
