feat 0 | feat 1 | feat 2 | feat 3 | feat 4 | brake | releasebrake | Q | 
73.51 | 0 | 0 | 4.2 | 0 | 1 | 0 | -1939.47 | 
73.51 | 0 | 0 | 4.2 | 0 | 0 | 1 | -1580.47 | 
73.51 | 0 | 0 | 4.3 | 1 | 1 | 0 | 0 | 
73.51 | 0 | 0 | 4.3 | 1 | 0 | 1 | 0 | 
46.51 | 0 | 0 | 1.7 | 0 | 1 | 0 | -19056.97 | 
46.51 | 0 | 0 | 1.7 | 0 | 0 | 1 | -18774.85 | 
46.51 | 0 | 0 | 1.8 | 0 | 1 | 0 | -19195.22 | 
46.51 | 0 | 0 | 1.8 | 0 | 0 | 1 | -18787.85 | 
46.51 | 0 | 0 | 1.9 | 0 | 1 | 0 | -18900.58 | 
46.51 | 0 | 0 | 1.9 | 0 | 0 | 1 | -18896.55 | 
46.51 | 0 | 0 | 2.0 | 0 | 1 | 0 | -18756.1 | 
46.51 | 0 | 0 | 2.0 | 0 | 0 | 1 | -19464.38 | 
46.51 | 0 | 0 | 2.1 | 1 | 1 | 0 | 0 | 
46.51 | 0 | 0 | 2.1 | 1 | 0 | 1 | 0 | 
61.51 | 0 | 0 | 2.9 | 0 | 1 | 0 | -2024.46 | 
61.51 | 0 | 0 | 2.9 | 0 | 0 | 1 | -1365.02 | 
61.51 | 0 | 0 | 3.0 | 1 | 1 | 0 | 0 | 
61.51 | 0 | 0 | 3.0 | 1 | 0 | 1 | 0 | 
50.51 | 0 | 0 | 2.0 | 0 | 1 | 0 | -11906.54 | 
50.51 | 0 | 0 | 2.0 | 0 | 0 | 1 | -9876.94 | 
50.51 | 0 | 0 | 2.1 | 0 | 1 | 0 | -9864.88 | 
50.51 | 0 | 0 | 2.1 | 0 | 0 | 1 | -12391.86 | 
50.51 | 0 | 0 | 2.2 | 0 | 1 | 0 | -12725.25 | 
50.51 | 0 | 0 | 2.2 | 0 | 0 | 1 | -10728.47 | 
